Epoch, Training Loss, Validation Loss, Validation Error (%)
86, 0.0171, 0.2915, 7.06
87, 0.0174, 0.3079, 7.46
88, 0.0202, 0.2835, 7.10
89, 0.0209, 0.3106, 7.54
90, 0.0190, 0.3130, 7.72
91, 0.0193, 0.3028, 7.39
92, 0.0199, 0.3108, 7.62
93, 0.0202, 0.3224, 7.70
94, 0.0238, 0.3320, 7.73
95, 0.0221, 0.3141, 8.01
96, 0.0229, 0.2980, 7.69
97, 0.0198, 0.2964, 7.59
98, 0.0222, 0.3123, 7.73
99, 0.0239, 0.3161, 7.93
100, 0.0279, 0.3374, 8.14
101, 0.0144, 0.2682, 6.82
102, 0.0095, 0.2581, 6.81
103, 0.0071, 0.2626, 6.57
104, 0.0061, 0.2585, 6.27
105, 0.0062, 0.2566, 6.49
106, 0.0053, 0.2588, 6.61
107, 0.0046, 0.2714, 6.67
108, 0.0050, 0.2660, 6.58
109, 0.0043, 0.2629, 6.15
110, 0.0043, 0.2617, 6.34
111, 0.0043, 0.2619, 6.40
112, 0.0047, 0.2707, 6.40
113, 0.0040, 0.2665, 6.38
114, 0.0037, 0.2613, 6.25
115, 0.0033, 0.2719, 6.42
116, 0.0034, 0.2686, 6.36
117, 0.0035, 0.2636, 6.58
118, 0.0033, 0.2735, 6.17
119, 0.0033, 0.2662, 6.19
120, 0.0032, 0.2723, 6.48
121, 0.0031, 0.2702, 6.24
122, 0.0029, 0.2658, 6.31
123, 0.0030, 0.2685, 6.16
124, 0.0031, 0.2763, 6.34
125, 0.0030, 0.2694, 6.32
126, 0.0027, 0.2668, 6.33
127, 0.0029, 0.2696, 6.34
128, 0.0029, 0.2678, 6.35
129, 0.0028, 0.2677, 6.46
130, 0.0027, 0.2712, 6.19
131, 0.0025, 0.2703, 6.58
132, 0.0026, 0.2679, 6.13
133, 0.0031, 0.2702, 6.39
134, 0.0026, 0.2685, 6.06
135, 0.0026, 0.2644, 6.31
136, 0.0027, 0.2747, 6.15
137, 0.0025, 0.2639, 6.05
138, 0.0028, 0.2629, 6.20
139, 0.0024, 0.2694, 6.20
140, 0.0026, 0.2659, 6.11
141, 0.0025, 0.2692, 6.26
142, 0.0025, 0.2705, 6.35
143, 0.0023, 0.2714, 6.28
144, 0.0025, 0.2689, 6.32
145, 0.0024, 0.2802, 6.50
146, 0.0024, 0.2764, 6.28
147, 0.0023, 0.2660, 6.41
148, 0.0024, 0.2669, 6.02
149, 0.0023, 0.2733, 6.31
150, 0.0027, 0.2664, 6.15
