Epoch, Training Loss, Validation Loss, Validation Error (%)
111, 0.0134, 0.3275, 8.33
112, 0.0119, 0.3394, 8.61
113, 0.0113, 0.3362, 8.57
114, 0.0117, 0.3429, 8.56
115, 0.0110, 0.3386, 8.58
116, 0.0117, 0.3458, 8.53
117, 0.0111, 0.3443, 8.55
118, 0.0092, 0.3653, 8.82
119, 0.0108, 0.3542, 8.53
120, 0.0105, 0.3573, 8.59
121, 0.0098, 0.3529, 8.52
122, 0.0089, 0.3439, 8.50
123, 0.0087, 0.3569, 8.47
124, 0.0095, 0.3600, 8.69
125, 0.0083, 0.3633, 8.58
126, 0.0085, 0.3677, 8.80
127, 0.0097, 0.3561, 8.63
128, 0.0084, 0.3556, 8.42
129, 0.0088, 0.3665, 8.78
130, 0.0080, 0.3621, 8.69
131, 0.0074, 0.3695, 8.66
132, 0.0082, 0.3671, 8.59
133, 0.0076, 0.3721, 8.67
134, 0.0071, 0.3690, 8.55
135, 0.0075, 0.3793, 8.87
136, 0.0077, 0.3691, 8.71
137, 0.0070, 0.3616, 8.42
138, 0.0075, 0.3690, 8.61
139, 0.0069, 0.3623, 8.42
140, 0.0065, 0.3667, 8.65
141, 0.0065, 0.3707, 8.63
142, 0.0071, 0.3725, 8.43
143, 0.0066, 0.3682, 8.41
144, 0.0064, 0.3730, 8.48
145, 0.0054, 0.3736, 8.58
146, 0.0064, 0.3688, 8.57
147, 0.0063, 0.3841, 8.77
148, 0.0062, 0.3594, 8.36
149, 0.0061, 0.3766, 8.61
150, 0.0064, 0.3879, 8.75
